0	1	20	2
0	1	20	2
0	1	20	2
0	1	20	2
0	1	20	2
0	1	20	2
0	1	20	2
0	1	20	2
0	1	20	2
0	1	20	2
0	1	20	2
0	1	20	2
0	1	20	2
0	1	20	2
0	1	20	2
0	1	20	2
0	1	20	2
0	1	20	2
0	1	20	2
0	1	20	2
0	1	20	2
0	1	20	2
0	3	20	4
0	3	20	4
0	3	20	4
0	3	20	4
0	3	20	4
0	3	20	4
0	3	16	3
0	3	16	3
0	3	20	4
0	3	20	4
0	3	20	4
0	3	20	4
0	3	16	3
0	3	16	3
0	3	20	4
0	3	20	4
0	3	16	3
0	3	16	3
0	5	16	4
0	5	16	4
0	5	16	4
0	5	16	4
0	3	16	3
0	3	16	3
0	5	16	4
0	5	16	4
0	4	12	3
0	4	12	3
0	6	12	4
0	6	12	4
0	6	12	4
0	6	12	4
0	6	16	5
0	6	16	5
0	7	12	5
0	7	12	5
0	6	12	4
0	6	12	4
0	7	12	5
0	7	12	5
0	8	10	5
0	8	10	5
0	6	16	5
0	7	12	5
0	6	12	4
0	6	12	4
0	7	12	5
0	7	12	5
0	8	12	6
0	8	12	6
0	8	12	6
0	8	12	6
0	8	12	6
0	8	12	6
0	7	12	5
0	8	12	6
0	7	12	5
0	7	12	5
0	7	12	5
0	7	12	5
0	9	10	6
0	9	10	6
0	7	12	5
0	7	12	5
0	8	12	6
0	8	12	6
0	9	10	6
0	9	10	6
0	9	10	6
0	9	10	6
0	9	10	6
0	9	10	6
0	9	6	5
0	9	6	5
0	9	6	5
0	9	6	5
0	9	6	5
0	9	6	5
0	9	6	5
0	9	6	5
0	9	6	5
0	9	6	5
0	9	6	5
0	9	6	5
0	10	2	6
0	10	2	6
0	9	6	5
0	9	6	5
0	11	6	7
0	11	6	7
0	10	2	6
0	10	2	6
0	10	2	6
0	10	2	6
0	10	2	6
0	10	2	6
0	12	2	7
0	16	6	10
0	10	2	6
0	10	2	6
0	10	2	6
0	14	6	8
0	14	4	8
0	14	4	8
0	14	4	8
0	14	4	8
0	14	4	8
0	14	4	8
0	14	4	8
0	14	4	8
0	14	4	8
0	14	4	8
0	16	6	10
0	20	10	12
0	20	10	12
0	20	10	12
0	19	14	12
0	19	14	12
0	13	6	8
0	13	6	8
0	14	6	8
0	18	10	11
0	13	6	8
0	17	10	11
0	17	6	10
0	21	10	13
0	16	8	10
0	16	8	10
0	17	8	10
0	21	12	13
0	25	14	16
0	21	10	13
0	21	14	13
0	21	14	13
0	21	14	13
0	21	14	13
0	21	14	13
0	21	14	13
0	21	14	13
0	21	14	13
0	21	14	13
0	21	14	13
0	16	6	10
0	14	8	9
0	14	6	8
0	14	6	8
0	14	8	9
0	14	8	9
0	14	6	8
0	14	6	8
0	14	6	8
0	14	6	8
0	14	10	9
0	14	10	9
0	14	10	9
0	14	8	9
0	14	6	8
0	14	6	8
0	12	6	7
0	8	2	4
0	14	6	8
0	14	6	8
0	14	6	8
0	18	10	11
0	12	6	7
0	8	2	4
1	12	6	8
0	8	2	4
0	8	4	5
0	12	8	7
0	8	4	5
0	12	8	7
0	6	4	3
0	6	4	3
0	6	4	3
0	6	4	3
0	6	4	3
0	6	4	3
0	6	6	4
0	6	6	4
0	6	4	3
0	6	4	3
7	8	6	7
3	4	2	3
3	4	2	3
3	4	2	3
3	4	4	3
3	4	4	3
3	4	6	3
3	4	6	3
7	8	10	7
3	4	6	3
7	8	10	7
3	4	6	3
3	4	6	3
3	4	6	3
3	4	6	3
3	4	6	3
4	4	6	4
4	4	6	4
4	4	6	4
0	0	2	0
0	0	0	0
0	0	0	0
1	0	0	0
0	0	0	0
0	0	0	0
0	0	0	0
0	0	0	0
4	4	4	3
1	0	2	0
1	0	2	0
1	0	0	0
1	0	0	0
0	0	2	0
4	4	6	4
4	0	0	1
4	0	0	1
4	0	2	1
4	0	2	1
1	0	2	0
1	0	2	0
1	0	2	0
1	0	2	0
4	0	2	1
4	0	2	1
4	0	2	1
4	0	2	1
4	0	2	1
4	0	2	1
4	0	2	1
4	0	2	1
7	0	2	2
7	0	2	2
7	0	2	2
7	0	2	2
7	0	2	2
7	0	2	2
4	0	2	1
4	0	2	1
7	0	2	2
7	0	2	2
7	0	2	2
7	0	2	2
7	0	2	2
7	0	2	2
7	0	2	2
7	0	2	2
7	0	2	2
7	0	2	2
7	0	2	2
7	0	2	2
7	0	2	2
7	0	2	2
7	0	2	2
4	0	2	1
4	0	6	1
4	0	6	1
7	0	2	2
7	0	2	2
7	0	6	2
7	0	6	2
4	0	2	1
4	0	2	1
7	0	2	2
7	0	2	2
7	0	6	2
7	0	6	2
7	0	6	2
7	0	6	2
7	0	6	2
7	0	6	2
7	0	6	2
7	0	6	2
7	0	6	2
7	0	6	2
4	0	6	1
4	0	6	1
4	0	6	1
4	0	6	1
4	0	6	1
4	0	6	1
4	0	6	1
4	0	6	1
4	0	6	1
4	0	6	1
4	0	6	1
4	0	6	1
4	0	6	1
4	0	6	1
7	0	6	2
7	0	6	2
4	0	10	2
4	0	10	2
4	0	6	1
4	0	6	1
4	0	10	2
4	0	10	2
4	0	10	2
4	0	10	2
4	0	10	2
4	0	10	2
4	0	10	2
4	0	10	2
4	0	10	2
4	0	10	2
4	0	10	2
4	0	10	2
4	0	10	2
4	0	10	2
4	0	10	2
4	0	10	2
4	0	10	2
4	0	10	2
4	0	12	2
4	0	12	2
4	0	10	2
4	0	12	2
4	0	12	2
4	0	12	2
4	0	12	2
4	0	12	2
4	0	12	2
